school_id,country,school_name,homepage_url,seed_kind,source
US00138,usa,California University Of Pennsylvania California,https://collegedunia.com/usa/university/1085-california-university-of-pennsylvania-california,school_homepage,usa_master_923_backfill
US00139,usa,California State University Channel Islands Camarillo,https://collegedunia.com/usa/university/1086-california-state-university---channel-islands-camarillo,school_homepage,usa_master_923_backfill
US00140,usa,Massachusetts Institute Of Technology Cambridge,https://collegedunia.com/usa/university/1087-massachusetts-institute-of-technology-cambridge,school_homepage,new_vs_265
US00141,usa,Hult International Business School Cambridge,https://collegedunia.com/usa/college/1088-hult-international-business-school-cambridge,school_homepage,usa_master_923_backfill
US00142,usa,Harvard University Cambridge,https://collegedunia.com/usa/university/1090-harvard-university-cambridge,school_homepage,new_vs_265
US00143,usa,Lesley University Cambridge,https://collegedunia.com/usa/university/1091-lesley-university-cambridge,school_homepage,usa_master_923_backfill
US00144,usa,St Lawrence University Canton,https://collegedunia.com/usa/college/1094-st-lawrence-university-canton,school_homepage,usa_master_923_backfill
US00145,usa,Southeast Missouri State University Cape Girardeau,https://collegedunia.com/usa/university/1095-southeast-missouri-state-university-cape-girardeau,school_homepage,usa_master_923_backfill
US00146,usa,Southern Illinois University Carbondale,https://collegedunia.com/usa/university/1096-southern-illinois-university-carbondale,school_homepage,new_vs_265
US00147,usa,Dickinson College Carlisle,https://collegedunia.com/usa/college/1097-dickinson-college-carlisle,school_homepage,usa_master_923_backfill
US00148,usa,University Of West Georgia Carrollton,https://collegedunia.com/usa/university/1098-university-of-west-georgia-carrollton,school_homepage,usa_master_923_backfill
US00149,usa,Castleton University Castleton,https://collegedunia.com/usa/college/1099-castleton-university-castleton,school_homepage,usa_master_923_backfill
US00150,usa,Southern Utah University Cedar City,https://collegedunia.com/usa/university/1100-southern-utah-university-cedar-city,school_homepage,usa_master_923_backfill
US00151,usa,University Of Northern Iowa Cedar Falls,https://collegedunia.com/usa/university/1101-university-of-northern-iowa-cedar-falls,school_homepage,usa_master_923_backfill
US00152,usa,Coe College Cedar Rapids,https://collegedunia.com/usa/college/1103-coe-college-cedar-rapids,school_homepage,usa_master_923_backfill
US00153,usa,Cedarville University Cedarville,https://collegedunia.com/usa/university/1104-cedarville-university-cedarville,school_homepage,usa_master_923_backfill
US00154,usa,University Of North Carolina Chapel Hill,https://collegedunia.com/usa/university/1108-university-of-north-carolina-chapel-hill,school_homepage,new_vs_265
US00155,usa,American Public University Charles Town,https://collegedunia.com/usa/university/1109-american-public-university-charles-town,school_homepage,usa_master_923_backfill
US00156,usa,The Medical University Of South Carolina Charleston,https://collegedunia.com/usa/college/1110-the-medical-university-of-south-carolina-charleston,school_homepage,usa_master_923_backfill
US00157,usa,Eastern Illinois University Charleston,https://collegedunia.com/usa/university/1111-eastern-illinois-university-charleston,school_homepage,usa_master_923_backfill
US00158,usa,College Of Charleston Charleston,https://collegedunia.com/usa/college/1112-college-of-charleston-charleston,school_homepage,usa_master_923_backfill
US00159,usa,University Of Charleston Charleston,https://collegedunia.com/usa/university/1114-university-of-charleston-charleston,school_homepage,usa_master_923_backfill
US00160,usa,University Of North Carolina Charlotte,https://collegedunia.com/usa/university/1115-university-of-north-carolina-charlotte,school_homepage,usa_master_923_backfill
US00161,usa,University Of Wisconsin Whitewater,https://collegedunia.com/usa/university/1116-university-of-wisconsin-whitewater,school_homepage,new_vs_265
US00162,usa,Queens University Of Charlotte Charlotte,https://collegedunia.com/usa/university/1117-queens-university-of-charlotte-charlotte,school_homepage,usa_master_923_backfill
